timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1638729876896,29288,ADJUSTEDCOSINE,200,,Thread Group 1-10,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,29288,0,0
1638729876568,29835,ADJUSTEDCOSINE,200,,Thread Group 1-6,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,29835,0,0
1638729878101,28461,ADJUSTEDCOSINE,200,,Thread Group 1-7,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,28461,0,0
1638729877955,30269,ADJUSTEDCOSINE,200,,Thread Group 1-4,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,30269,0,0
1638729902676,28282,ADJUSTEDCOSINE,200,,Thread Group 1-5,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,28282,0,2
1638729903899,28645,ADJUSTEDCOSINE,200,,Thread Group 1-3,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,28644,0,1
1638729903481,29281,ADJUSTEDCOSINE,200,,Thread Group 1-2,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,29280,0,1
1638729904119,28819,ADJUSTEDCOSINE,200,,Thread Group 1-1,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,28819,0,1
1638729905732,28520,ADJUSTEDCOSINE,200,,Thread Group 1-9,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,28520,0,1
1638729906184,28317,ADJUSTEDCOSINE,200,,Thread Group 1-10,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,28317,0,1
1638729905766,29076,ADJUSTEDCOSINE,200,,Thread Group 1-8,text,true,,228,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,29076,0,1
1638729906404,28924,ADJUSTEDCOSINE,200,,Thread Group 1-6,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,28923,0,0
